sObjectName
AcceptedEventRelation
AccountContactRole
AccountFeed
AccountHistory
AccountPartner
AccountShare
ActionLinkGroupTemplate
ActionLinkTemplate
ActiveScratchOrg
ActiveScratchOrgFeed
ActiveScratchOrgHistory
ActiveScratchOrgShare
AdditionalNumber
Address
Announcement
ApexClass
ApexComponent
ApexEmailNotification
ApexLog
ApexPage
ApexPageInfo
ApexTestQueueItem
ApexTestResult
ApexTestResultLimits
ApexTestRunResult
ApexTestSuite
ApexTrigger
AppMenuItem
Approval
Asset
AssetFeed
AssetHistory
AssetRelationship
AssetRelationshipFeed
AssetRelationshipHistory
AssignmentRule
AssociatedLocation
AssociatedLocationHistory
AsyncApexJob
Attachment
AuraDefinition
AuraDefinitionBundle
AuraDefinitionBundleInfo
AuraDefinitionInfo
AuthConfig
AuthConfigProviders
AuthProvider
AuthSession
BackgroundOperation
BrandTemplate
BrandingSet
BrandingSetProperty
BusinessHours
BusinessProcess
CHANNEL_ORDERS__COA_BatchConfiguration__Share
CHANNEL_ORDERS__COA_BatchConfiguration__c
CHANNEL_ORDERS__Customer_Order_Product_History__History
CHANNEL_ORDERS__Customer_Order_Product_History__c
CHANNEL_ORDERS__Customer__Share
CHANNEL_ORDERS__Customer__c
CHANNEL_ORDERS__Partner_Contract_Terms__History
CHANNEL_ORDERS__Partner_Contract_Terms__Share
CHANNEL_ORDERS__Partner_Contract_Terms__c
CHANNEL_ORDERS__Partner_Pricebook_Entry__History
CHANNEL_ORDERS__Partner_Pricebook_Entry__Share
CHANNEL_ORDERS__Partner_Pricebook_Entry__c
CHANNEL_ORDERS__Partner_Product_Catalog__History
CHANNEL_ORDERS__Partner_Product_Catalog__Share
CHANNEL_ORDERS__Partner_Product_Catalog__c
CHANNEL_ORDERS__Service_Order_Detail__History
CHANNEL_ORDERS__Service_Order_Detail__c
CHANNEL_ORDERS__Service_Order_Log__Share
CHANNEL_ORDERS__Service_Order_Log__c
CHANNEL_ORDERS__Service_Order__History
CHANNEL_ORDERS__Service_Order__Share
CHANNEL_ORDERS__Service_Order__c
CHANNEL_ORDERS__System_Property__mdt
CallCenter
Campaign
CampaignFeed
CampaignHistory
CampaignMember
CampaignMemberStatus
CampaignShare
Case
CaseComment
CaseContactRole
CaseFeed
CaseHistory
CaseMilestone
CaseShare
CaseSolution
CaseStatus
CaseSubjectParticle
CaseTeamMember
CaseTeamRole
CaseTeamTemplate
CaseTeamTemplateMember
CaseTeamTemplateRecord
CategoryData
CategoryNode
ChatterActivity
ChatterExtension
ChatterExtensionConfig
ClientBrowser
